alinea,alinea1,amendements1Signataire,amendementsMoins10Signataires,amendementsPlus10Signataires,article,book,chapter,code-part,law,lawType,paragraph,section,section1,sentence,text,texteLegislatif,texteLegislatifArticle,title,year
indirect: (relative: 0),,5,1,5,,,,,,,,,,,du présent alinéa,PLFSS pour 2020,ARTICLE 15,,2019
,,5,1,5,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 15,,2019
,,5,1,5,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 15,,2019
,,5,1,5,L162-17-5,,,,indirect: (relative: 0),code,,,,,aux articles L. 162-17-5 et L. 165-4 du même code,PLFSS pour 2020,ARTICLE 15,,2019
,,5,1,5,L165-4,,,,indirect: (relative: 0),code,,,,,aux articles L. 162-17-5 et L. 165-4 du même code,PLFSS pour 2020,ARTICLE 15,,2019
I order: 1,,1,1,6,L138-10,,,,code de la sécurité sociale,code,,,,,au I de l’article L. 138-10 du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 16,,2019
,,1,1,6,indirect: (relative: 0),,,,,,,,,,du même article,PLFSS pour 2020,ARTICLE 16,,2019
,,1,1,6,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 16,,2019
,,1,1,6,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 16,,2019
,,1,1,6,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 16,,2019
,,2,0,11,,,,,code de la sécurité sociale,code,,,,,Le code de la sécurité sociale,PLFSS pour 2020,ARTICLE 17,,2019
1,,2,0,11,,,,,,,,,,1,la première phrase du premier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 17,,2019
1,,2,0,11,,,,,,,,,,,du premier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
indirect: -1,,2,0,11,,,,,,,,,,,Le dernier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
I order: 1,,2,0,11,,,,,,,,,,,Le I,PLFSS pour 2020,ARTICLE 17,,2019
1,,2,0,11,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
2,,2,0,11,,,,,,,,,,,du deuxième alinéa,PLFSS pour 2020,ARTICLE 17,,2019
3,,2,0,11,,,,,,,,,,,du troisième alinéa,PLFSS pour 2020,ARTICLE 17,,2019
indirect: -1,,2,0,11,,,,,,,,,,,le dernier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,indirect: (relative: 0),,,,,,,,,,du même article,PLFSS pour 2020,ARTICLE 17,,2019
3,,2,0,11,,,,,,,,,,,du troisième alinéa,PLFSS pour 2020,ARTICLE 17,,2019
c order: c,,2,0,11,,,,,,,,,,,du c,PLFSS pour 2020,ARTICLE 17,,2019
indirect: -1,,2,0,11,L612-5,,,,,,,,,,Le dernier alinéa de l’article L. 612-5,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,indirect: (relative: 0),,,,,,,,,,le même article,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,code des juridictions financières,code,,,,,du code des juridictions financières,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,indirect: (relative: 0),,,,,,,,,,du même article,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 17,,2019
indirect: -1,,2,0,11,,,,,,,,,,,Le dernier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,indirect: (relative: 0),,,,,,,,,,au présent article,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,indirect: (relative: 0),,,,,,,,au présent chapitre,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,indirect: (relative: 0),,,,,,,,au présent chapitre,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,code rural et de la pêche maritime,code,,,,,Le code rural et de la pêche maritime,PLFSS pour 2020,ARTICLE 17,,2019
3,,2,0,11,,,,,,,,,,,Au troisième alinéa,PLFSS pour 2020,ARTICLE 17,,2019
1,,2,0,11,,,,,,,,,,,Au premier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
II septies order: 2,,2,0,11,4,,,,96-50 du 1996-01-24,ordonnance,,,,,Le II septies de l’article 4 de l’ordonnance n° 96-50 du 24 janvier 1996,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,code rural et de la pêche maritime,code,,,,,du code rural et de la pêche maritime,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 17,,2019
XVI order: 16,,2,0,11,15,,,,2017-1836 du 2017-12-30,loi,,,,,Le XVI de l’article 15 de la loi n° 2017-1836 du 30 décembre 2017,PLFSS pour 2020,ARTICLE 17,,2019
indirect: -1,,2,0,11,,,,,,,,,,,Au dernier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,,,,,,1,la première phrase,PLFSS pour 2020,ARTICLE 17,,2019
indirect: -1,,2,0,11,,,,,,,,,,,au dernier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
indirect: -1,,2,0,11,,,,,,,,,,,du dernier alinéa,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,879,,,,code général des impôts,code,,,,,l’article 879 du code général des impôts,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 17,,2019
3,,2,0,11,,,,,,,,,,,au troisième alinéa,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 17,,2019
,,2,0,11,indirect: (relative: 0),,,,,,,,,,le présent article,PLFSS pour 2020,ARTICLE 17,,2019
,,1,0,0,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 19,,2019
,,3,1,2,,,,order: 5,code de la santé publique,code,,,,,la cinquième partie du code de la santé publique,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,,,,,,1,La première phrase,PLFSS pour 2020,ARTICLE 30,,2019
1,,3,1,2,,,,,,,,,,,du premier alinéa,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 30,,2019
1,,3,1,2,,,,,,,,,,,du premier alinéa,PLFSS pour 2020,ARTICLE 30,,2019
indirect: -1,,3,1,2,,,,,,,,,,,Au dernier alinéa,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 30,,2019
2,,3,1,2,,,,,,,,,,,du deuxième alinéa,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,indirect: (relative: 0),,,,,,,,,,du même article,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 30,,2019
2,,3,1,2,,,,,,,,,,,Au deuxième alinéa,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,indirect: (relative: 0),,,,,,,,,,du même article,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,indirect: (relative: 0),,,,,,,,,,des mêmes articles,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 30,,2019
,,3,1,2,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 30,,2019
,,0,1,4,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 31,,2019
,,0,1,4,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 31,,2019
,,3,3,6,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 32,,2019
7,,3,3,6,,,,,,,,,,,Au septième alinéa,PLFSS pour 2020,ARTICLE 32,,2019
8,,3,3,6,,,,,,,,,,,Au huitième alinéa,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 32,,2019
2,,3,3,6,,,,,,,,,,,le deuxième alinéa,PLFSS pour 2020,ARTICLE 32,,2019
4,,3,3,6,,,,,,,,,,,Le quatrième alinéa,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,,,,,,1,la première phrase,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,,,,,,3,la troisième phrase,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,,,,,,indirect: -1,la dernière phrase,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,,,,,,1,la première phrase,PLFSS pour 2020,ARTICLE 32,,2019
b order: b,,3,3,6,,,,,,,,,,,au b,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,code rural et de la pêche maritime,code,,,,,du code rural et de la pêche maritime,PLFSS pour 2020,ARTICLE 32,,2019
2,,3,3,6,,,,,,,,,,1,la première phrase du deuxième alinéa,PLFSS pour 2020,ARTICLE 32,,2019
indirect: -1,,3,3,6,,,,,,,,,,,Au dernier alinéa,PLFSS pour 2020,ARTICLE 32,,2019
1,,3,3,6,indirect: (relative: 0),,,,,,,,,,au premier alinéa du présent article,PLFSS pour 2020,ARTICLE 32,,2019
1,,3,3,6,,,,,,,,,,2,La seconde phrase du premier alinéa,PLFSS pour 2020,ARTICLE 32,,2019
2° order: 2,,3,3,6,,,,,,,,,,,au 2°,PLFSS pour 2020,ARTICLE 32,,2019
1,,3,3,6,,,,,,,,,,3,la troisième phrase du premier alinéa,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,6-1,,,,89-1009 du 1989-12-31,loi,,,,,"Les articles 6-1, 6-2 et 6-3 de la loi n° 89-1009 du 31 décembre 1989",PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,6-2,,,,89-1009 du 1989-12-31,loi,,,,,"Les articles 6-1, 6-2 et 6-3 de la loi n° 89-1009 du 31 décembre 1989",PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,6-3,,,,89-1009 du 1989-12-31,loi,,,,,"Les articles 6-1, 6-2 et 6-3 de la loi n° 89-1009 du 31 décembre 1989",PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,6-1,,,,,,,,,,L’article 6-1,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 32,,2019
,,3,3,6,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 32,,2019
,,1,0,0,,Ier,,,code de la sécurité sociale,code,,,,,Le titre VI du livre Ier du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 33,VI,2019
,,1,0,0,L162-4-5,,,,,,,,,,la première phrase des articles L. 162-4-5 et L. 162-8-1,PLFSS pour 2020,ARTICLE 33,,2019
,,1,0,0,L162-8-1,,,,,,,,,,la première phrase des articles L. 162-4-5 et L. 162-8-1,PLFSS pour 2020,ARTICLE 33,,2019
5,,1,0,0,,,,,,,,,,,Le cinquième alinéa,PLFSS pour 2020,ARTICLE 33,,2019
,,11,4,14,,,,order: 5,code de la santé publique,code,,,,,la cinquième partie du code de la santé publique,PLFSS pour 2020,ARTICLE 34,,2019
1,,11,4,14,,,,,,,,,,,le premier alinéa,PLFSS pour 2020,ARTICLE 34,,2019
2,,11,4,14,,,,,,,,,,1,la première phrase du second alinéa,PLFSS pour 2020,ARTICLE 34,,2019
,,11,4,14,indirect: (relative: 0),,,,,,,,,,au même article,PLFSS pour 2020,ARTICLE 34,,2019
,,11,4,14,L5121-32-1,,,,,,,,,,l’article L. 5121-32-1,PLFSS pour 2020,ARTICLE 34,,2019
2,,11,4,14,,,,,,,,,,,au deuxième alinéa,PLFSS pour 2020,ARTICLE 34,,2019
1,,11,4,14,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 34,,2019
1,,11,4,14,,,,,,,,,,,Le premier alinéa,PLFSS pour 2020,ARTICLE 34,,2019
,,11,4,14,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 34,,2019
,,11,4,14,,,,,,,,,,1,la première phrase,PLFSS pour 2020,ARTICLE 34,,2019
,,11,4,14,,,,,,,,,,3,la troisième phrase,PLFSS pour 2020,ARTICLE 34,,2019
,,11,4,14,indirect: (relative: 0),,,,,,,,,,au même article,PLFSS pour 2020,ARTICLE 34,,2019
,,11,4,14,,,,order: 5,code de la santé publique,code,,,,,la cinquième partie du code de la santé publique,PLFSS pour 2020,ARTICLE 34,,2019
2,,11,4,14,,,,,,,,,,,du deuxième alinéa,PLFSS pour 2020,ARTICLE 34,,2019
1,,11,4,14,,,,,,,,,,,du premier alinéa,PLFSS pour 2020,ARTICLE 34,,2019
1,,11,4,14,,,,,,,,,,,du premier alinéa,PLFSS pour 2020,ARTICLE 34,,2019
2,,11,4,14,,,,,,,,,,,du second alinéa,PLFSS pour 2020,ARTICLE 34,,2019
2,,11,4,14,L5121-31,,,,,,,,,,du deuxième alinéa de l’article L. 5121-31,PLFSS pour 2020,ARTICLE 34,,2019
1,,11,4,14,,,,,,,,,,,du premier alinéa,PLFSS pour 2020,ARTICLE 34,,2019
indirect: -1,,11,4,14,,,,,,,,,,,au dernier alinéa,PLFSS pour 2020,ARTICLE 34,,2019
,,11,4,14,L5471-1,,,,code de la santé publique,code,,,,,L’article L. 5471-1 du code de la santé publique,PLFSS pour 2020,ARTICLE 34,,2019
1,,11,4,14,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 34,,2019
2,,11,4,14,,,,,,,,,,,Au deuxième alinéa,PLFSS pour 2020,ARTICLE 34,,2019
3° order: 3,,11,4,14,,,,,,,,,,,au 3°,PLFSS pour 2020,ARTICLE 34,,2019
,,11,4,14,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 34,,2019
4,,3,2,0,,,,,,,,,,,Le quatrième alinéa,PLFSS pour 2020,ARTICLE 35,,2019
,,3,2,0,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 35,,2019
,,1,0,0,,,,,code de la sécurité sociale,code,,,,,Le code de la sécurité sociale,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 36,,2019
1,,1,0,0,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,L641-1,,,,,,,,,,l’article L. 641-1,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 36,,2019
1,,1,0,0,,,,,,,,,,,Le premier alinéa,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,L645-2,,,,,,,,,,l’article L. 645-2,PLFSS pour 2020,ARTICLE 36,,2019
1,,1,0,0,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 36,,2019
1,,1,0,0,indirect: (relative: 0),,,,,,,,,,au premier alinéa du présent article,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,indirect: 1,code de la santé publique,code,,,,,la première partie du code de la santé publique,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 36,,2019
2,,1,0,0,indirect: (relative: 0),,,,,,,,,,au deuxième alinéa du présent article,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 36,,2019
I order: 1,1° order: 1,1,0,0,,,,,,,,,,,au 1° du I,PLFSS pour 2020,ARTICLE 36,,2019
1,,1,0,0,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 36,,2019
I order: 1,1° order: 1,1,0,0,,,,,,,,,,,au 1° du I,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,indirect: (relative: 0),,,,,,,,,,Le présent article,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 36,,2019
,,1,0,0,,,,,indirect: (relative: 0),décret,,,,,du même décret,PLFSS pour 2020,ARTICLE 36,,2019
,,0,1,5,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 37,,2019
,,0,1,5,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 37,,2019
I order: 1,,0,1,5,20-1,,,,96-1122,ordonnance,,,,,Le I de l’article 20-1 de l’ordonnance n° 96-1122,PLFSS pour 2020,ARTICLE 37,,2019
3° order: 3,,0,1,5,L160-9,,,,code de la sécurité sociale,code,,,,,au 3° de l’article L. 160-9 du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 37,,2019
,,2,0,0,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 38,,2019
,,2,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 38,,2019
,,2,0,0,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 38,,2019
,,1,2,2,,,,indirect: 1,code de la santé publique,code,,,,,la première partie du code de la santé publique,PLFSS pour 2020,ARTICLE 40,,2019
,,1,2,2,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 40,,2019
,,1,2,2,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 40,,2019
,,1,2,2,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 40,,2019
,,1,2,2,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 40,,2019
,,6,3,12,,,,,code du sport,code,,,,,du code du sport,PLFSS pour 2020,ARTICLE 41,,2019
I order: 1,,6,3,12,,,,,,,,,,,du I,PLFSS pour 2020,ARTICLE 41,,2019
,,6,3,12,,,,,code du sport,code,,,,,du code du sport,PLFSS pour 2020,ARTICLE 41,,2019
,,1,0,5,,,,,code de la sécurité sociale,code,,,,,Le code de la sécurité sociale,PLFSS pour 2020,ARTICLE 42,,2019
2,,1,0,5,,,,,,,,,,,le deuxième alinéa,PLFSS pour 2020,ARTICLE 42,,2019
2,,1,0,5,,,,,,,,,,,au deuxième alinéa,PLFSS pour 2020,ARTICLE 42,,2019
1,,1,0,5,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 42,,2019
1,,1,0,5,,,,,,,,,,,du premier alinéa,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,indirect: (relative: 0),,,,,,,,,,au même article,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,L162-30-3,,,,,,,,,,audit article L. 162-30-3,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 42,,2019
1,,1,0,5,,,,,,,,,,,Au premier alinéa,PLFSS pour 2020,ARTICLE 42,,2019
2,,1,0,5,,,,,,,,,,,Au deuxième alinéa,PLFSS pour 2020,ARTICLE 42,,2019
3,,1,0,5,,,,,,,,,,,Au troisième alinéa,PLFSS pour 2020,ARTICLE 42,,2019
indirect: -1,,1,0,5,,,,,,,,,,,Le dernier alinéa,PLFSS pour 2020,ARTICLE 42,,2019
2,,1,0,5,indirect: (relative: 0),,,,,,,,,,au deuxième alinéa du présent article,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 42,,2019
3,,1,0,5,,,,,,,,,,,du troisième alinéa,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,indirect: (relative: 0),,,,,,,,,,du même article,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,indirect: (relative: 0),,,,,,,,,,le même article,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,,,,,code de la santé publique,code,,,,,Le code de la santé publique,PLFSS pour 2020,ARTICLE 42,,2019
indirect: -1,,1,0,5,,,,,,,,,,,Au dernier alinéa,PLFSS pour 2020,ARTICLE 42,,2019
2,,1,0,5,,,,,,,,,,,Au deuxième alinéa,PLFSS pour 2020,ARTICLE 42,,2019
5,,1,0,5,,,,,,,,,,,Au cinquième alinéa,PLFSS pour 2020,ARTICLE 42,,2019
1,,1,0,5,,,,,,,,,,,Au premier alinéa,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 42,,2019
indirect: 1,,1,0,5,,,,,,,,,,,aux deux premiers alinéas,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 42,,2019
,,1,0,5,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 42,,2019
,,2,0,0,L5121-12-1,,,,code de la santé publique,code,,,,,L’article L. 5121-12-1 du code de la santé publique,PLFSS pour 2020,ARTICLE 43,,2019
1,,2,0,0,,,,,,,,,,,Le premier alinéa,PLFSS pour 2020,ARTICLE 43,,2019
indirect: -1,,2,0,0,,,,,,,,,,,Le dernier alinéa,PLFSS pour 2020,ARTICLE 43,,2019
indirect: -1,,2,0,0,,,,,,,,,,,Le dernier alinéa,PLFSS pour 2020,ARTICLE 43,,2019
indirect: (relative: 0),,2,0,0,,,,,,,,,,,au présent alinéa,PLFSS pour 2020,ARTICLE 43,,2019
,,2,0,0,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 43,,2019
,,2,0,0,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 43,,2019
,,2,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 43,,2019
,,2,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 43,,2019
,,2,0,0,,,,,,,,,,1,la première phrase,PLFSS pour 2020,ARTICLE 43,,2019
