alinea,alinea1,alinea2,article,auteur,auteurType,book,chapter,code-part,etat,groupePolitique,law,lawType,paragraph,section,section1,sentence,sort,text,texteLegislatifUid,title,uid,year
2,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,du deuxième alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001606,2019
,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001606,2019
,,,,Corneloup Josiane,Député,,,,,LR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001609,2019
,,,575,Corneloup Josiane,Député,,,,,LR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001609,2019
,,,575 A,Corneloup Josiane,Député,,,,,LR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001609,2019
,,,,Corneloup Josiane,Député,,,,,LR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001610,2019
,,,575,Corneloup Josiane,Député,,,,,LR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001610,2019
,,,575 A,Corneloup Josiane,Député,,,,,LR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001610,2019
,,,,Corneloup Josiane,Député,,,,,LR,indirect: (relative: 0),code,,,,,Non soutenu,du même code,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001612,2019
2,,,,Corneloup Josiane,Député,,,,,LR,,,,,,,Rejeté,Le deuxième alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001616,2019
,,,,Corneloup Josiane,Député,,,,,LR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001616,2019
II order: 2,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,Le II,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001622,2019
,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001622,2019
3,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,le troisième alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001622,2019
4,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,Au quatrième alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001622,2019
,,,575,Girardin Éric,Député,,,,,LaREM,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001626,2019
,,,575 A,Girardin Éric,Député,,,,,LaREM,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001626,2019
,,,,Christophe Paul,Député,,,,,Agir ens,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001629,2019
,,,,Christophe Paul,Député,,,,,Agir ens,indirect: (relative: 0),code,,,,,Rejeté,du présent code,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001629,2019
,,,,Christophe Paul,Député,,,,,Agir ens,code rural et de la pêche maritime,code,,,,,Rejeté,du code rural et de la pêche maritime,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001629,2019
I order: 1,,,,Christophe Paul,Député,,,,,Agir ens,,,,,,,Rejeté,du I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001629,2019
,,,,Christophe Paul,Député,II,,order: 6,,Agir ens,code du travail,code,,,,,Rejeté,du titre II du livre II de la sixième partie du code du travail,PRJLANR5L15B2296,II,AMANR5L15PO717460B2296P0D1N001629,2019
,,,,Christophe Paul,Député,,,,,Agir ens,code du travail,code,,,,,Rejeté,du code du travail,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001629,2019
,,,,Christophe Paul,Député,,,,,Agir ens,indirect: (relative: 0),code,,,,,Rejeté,du présent code,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001629,2019
,,,575,Christophe Paul,Député,,,,,Agir ens,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001629,2019
,,,575 A,Christophe Paul,Député,,,,,Agir ens,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001629,2019
1° order: 1,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,,,,,,,Adopté,Au 1°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001633,2019
III order: 3,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,,,,,,,Adopté,du III,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001633,2019
,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,code de la sécurité sociale,code,,,,,Adopté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001633,2019
I order: 1,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,,,,,,,Adopté,du I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001633,2019
,,,575,Vainqueur-Christophe Hélène,Député,,,,,SOC,code général des impôts,code,,,,,Adopté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001633,2019
,,,575 A,Vainqueur-Christophe Hélène,Député,,,,,SOC,code général des impôts,code,,,,,Adopté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001633,2019
,,,,Fiat Caroline,Député,,,,,FI,code de l’action sociale et des familles,code,,,,,Adopté,Le code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001640,2019
2,,,,Fiat Caroline,Député,,,,,FI,,,,,,2,Adopté,la deuxième phrase du deuxième alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001640,2019
IV ter order: 4,,,,Fiat Caroline,Député,,,,,FI,,,,,,,Adopté,du IV ter,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001640,2019
1,,,,Fiat Caroline,Député,,,,,FI,,,,,,,Adopté,du premier alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001640,2019
indirect: -1,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,,,,,,,Non soutenu,Le dernier alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001643,2019
III order: 3,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,,,,,,,Non soutenu,du III,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001643,2019
,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001643,2019
,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,,,,,,1,Non soutenu,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001643,2019
,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,,,,,,2,Non soutenu,la seconde phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001643,2019
I order: 1,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,,,,,,,Non soutenu,du I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001643,2019
,,,575,Vainqueur-Christophe Hélène,Député,,,,,SOC,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001643,2019
,,,575 A,Vainqueur-Christophe Hélène,Député,,,,,SOC,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001643,2019
,,,,Quatennens Adrien,Député,,,,,FI,,,,,,1,Adopté,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001645,2019
,,,,Bouillon Christophe,Député,,,,,,,,,,,2,Non soutenu,la deuxième phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001646,2019
VII order: 7,,,,,Gouvernement,,,,,,,,,,,,Adopté,Le VII,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001648,2019
1,,,,,Gouvernement,,,,,,,,,,,,Adopté,Au premier alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001648,2019
,,,,,Gouvernement,,,,,,code des transports,code,,,,,Adopté,du code des transports,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001648,2019
a order: a,3,,,,Gouvernement,,,,,,,,,,,,Adopté,du troisième alinéa du a et du c du 2° du I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001648,2019
I order: 1,2° order: 2,c order: c,,,Gouvernement,,,,,,,,,,,,Adopté,du troisième alinéa du a et du c du 2° du I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001648,2019
,,,,Bouillon Christophe,Député,IV,V,indirect: 1,,,code de la santé publique,code,,5,,,Non soutenu,La section 5 du chapitre V du titre III du livre IV de la première partie du code de la santé publique,PRJLANR5L15B2296,III,AMANR5L15PO717460B2296P0D1N001649,2019
1° order: 1,,,,Bouillon Christophe,Député,,,,,,,,,,,,Non soutenu,Le 1°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001649,2019
,,,,Bouillon Christophe,Député,,,,,,indirect: (relative: 0),code,,,,,Non soutenu,du même code,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001649,2019
,,,,Bouillon Christophe,Député,,,,,,,,,,,2,Non soutenu,la deuxième phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001649,2019
1° order: 1,,,,Bouillon Christophe,Député,,,,,,,,,,,,Non soutenu,au 1°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001649,2019
,,,,Bouillon Christophe,Député,,,,,,indirect: (relative: 0),code,,,,,Non soutenu,du même code,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001649,2019
6,,,,Bouillon Christophe,Député,,,,,,,,,,,,Non soutenu,au sixième alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001649,2019
,,,,Bouillon Christophe,Député,,,,,,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001649,2019
II order: 2,,,,Bouillon Christophe,Député,,,,,,,,,,,1,Non soutenu,la première phrase du II,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001651,2019
,,,,Bouillon Christophe,Député,,,,,,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001651,2019
indirect: -1,,,,Bouillon Christophe,Député,,,,,,,,,,,,Non soutenu,du dernier alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001651,2019
,,,,Vainqueur-Christophe Hélène,Député,,,,,SOC,indirect: (relative: 0),loi,,,,,Rejeté,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001659,2019
indirect: (relative: 0),,,,Woerth Éric,Député,,,,,LR,,,,,,,Non soutenu,le même alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001663,2019
,,,575,Woerth Éric,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001663,2019
,,,575 A,Woerth Éric,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001663,2019
,,,575,Woerth Éric,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001663,2019
,,,575 A,Woerth Éric,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001663,2019
indirect: (relative: 0),,,,Errante Sophie,Député,,,,,LaREM,,,,,,,Non soutenu,le même alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001675,2019
,,,,Mélenchon Jean-Luc,Député,,,,,FI,indirect: (relative: 0),loi,,,,,Rejeté,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001678,2019
,,,,Mélenchon Jean-Luc,Député,,,,,FI,indirect: (relative: 0),loi,,,,,Rejeté,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001678,2019
,,,,Vercamer Francis,Député,Ier,II,order: 2,,,code général des impôts,code,,IV,,,Retiré,la section IV du chapitre II du titre III du livre Ier de la deuxième partie du code général des impôts,PRJLANR5L15B2296,III,AMANR5L15PO717460B2296P0D1N001682,2019
,,,,Mauborgne Sereine,Député,,,,,LaREM,indirect: (relative: 0),loi,,,,,Non soutenu,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001683,2019
,,,,Mauborgne Sereine,Député,,,,,LaREM,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001683,2019
,,,D312-1,Mauborgne Sereine,Député,,,,,LaREM,code de l’action sociale et des familles,code,,,,,Non soutenu,aux articles D. 312‑1 à D. 312‑5-1 du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001683,2019
,,,D312-5-1,Mauborgne Sereine,Député,,,,,LaREM,code de l’action sociale et des familles,code,,,,,Non soutenu,aux articles D. 312‑1 à D. 312‑5-1 du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001683,2019
,,,,Mauborgne Sereine,Député,,,,,LaREM,,,,,,1,Non soutenu,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001688,2019
III order: 3,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,Le III,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001689,2019
I order: 1,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,au I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001689,2019
1° order: 1,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,au 1°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001689,2019
a order: a,,,indirect: (relative: 0),Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,"aux a, b et c du même article",PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001689,2019
b order: b,,,indirect: (relative: 0),Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,"aux a, b et c du même article",PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001689,2019
c order: c,,,indirect: (relative: 0),Firmin Le Bodo Agnès,Député,,,,,Agir ens,,,,,,,Rejeté,"aux a, b et c du même article",PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001689,2019
,,,,Firmin Le Bodo Agnès,Député,,,,,Agir ens,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001689,2019
indirect: -1,,,L253-8-2,Lauzzana Michel,Député,,,,,LaREM,code rural et de la pêche maritime,code,,,,,Rejeté,Le dernier alinéa de l’article L253‑8-2 du code rural et de la pêche maritime,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001694,2019
,,,indirect: (relative: 0),Lauzzana Michel,Député,,,,,LaREM,,,,,,,Rejeté,Le présent article,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001694,2019
1,,,,Barrot Jean-Noël,Député,,,,,Dem,,,,,,,Rejeté,le premier alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001703,2019
,,,,Barrot Jean-Noël,Député,,,,,Dem,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001703,2019
1,,,indirect: (relative: 0),Barrot Jean-Noël,Député,,,,,Dem,,,,,,,Rejeté,au premier alinéa du présent article,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001703,2019
I order: 1,,,,Barrot Jean-Noël,Député,,,,,Dem,,,,,,,Rejeté,du I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001703,2019
,,,575,Barrot Jean-Noël,Député,,,,,Dem,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001703,2019
,,,575 A,Barrot Jean-Noël,Député,,,,,Dem,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001703,2019
1,,,,Barrot Jean-Noël,Député,,,,,Dem,,,,,,,Rejeté,le premier alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001704,2019
,,,,Barrot Jean-Noël,Député,,,,,Dem,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001704,2019
1,,,indirect: (relative: 0),Barrot Jean-Noël,Député,,,,,Dem,,,,,,,Rejeté,au premier alinéa du présent article,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001704,2019
I order: 1,,,,Barrot Jean-Noël,Député,,,,,Dem,,,,,,,Rejeté,du I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001704,2019
,,,575,Barrot Jean-Noël,Député,,,,,Dem,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001704,2019
,,,575 A,Barrot Jean-Noël,Député,,,,,Dem,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001704,2019
,,,,Lainé Fabien,Député,,,,,Dem,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001710,2019
6° order: 6,,,,Lainé Fabien,Député,,,,,Dem,,,,,,,Non soutenu,au 6°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001710,2019
I order: 1,,,,Lainé Fabien,Député,,,,,Dem,,,,,,,Non soutenu,du I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001710,2019
,,,,Lainé Fabien,Député,,,,,Dem,code de l’action sociale et des familles,code,,,,,Non soutenu,du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001710,2019
,,,575,Lainé Fabien,Député,,,,,Dem,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001710,2019
,,,575 A,Lainé Fabien,Député,,,,,Dem,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001710,2019
1° order: 1,,,,Véran Olivier,Député,,,,,,,,,,,,Adopté,au 1°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001711,2019
,,,,Véran Olivier,Député,,,,,,code du travail,code,,,,,Adopté,du code du travail,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001711,2019
,,,indirect: (relative: 0),Véran Olivier,Député,,,,,,,,,,,,Adopté,au même article,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001711,2019
,,,,Elimas Nathalie,Député,,,,,,,,,,,1,Retiré,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001716,2019
,,,,Elimas Nathalie,Député,,,,,,indirect: (relative: 0),loi,,,,,Adopté,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001721,2019
,,,,Elimas Nathalie,Député,,,,,,code de la santé publique,code,,,,,Adopté,du code de la santé publique,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001721,2019
,,,,Elimas Nathalie,Député,,,,,,,,,,,1,Adopté,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001723,2019
,,,,Véran Olivier,Député,,,,,,,,,,,2,Adopté,la deuxième phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001725,2019
,,,,Véran Olivier,Député,,,,,,code général des impôts,code,,,,,Adopté,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001725,2019
2,,,,Elimas Nathalie,Député,,,,,,,,,,,,Rejeté,Au deuxième alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001728,2019
,,,,Elimas Nathalie,Député,,,,,,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001728,2019
,,,1391 B ter,Elimas Nathalie,Député,,,,,,code général des impôts,code,,,,,Rejeté,des articles 1391 B ter et 1417 du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001728,2019
,,,1417,Elimas Nathalie,Député,,,,,,code général des impôts,code,,,,,Rejeté,des articles 1391 B ter et 1417 du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001728,2019
,,,,Elimas Nathalie,Député,,,,,,indirect: (relative: 0),code,,,,,Rejeté,du même code,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001729,2019
,,,,Véran Olivier,Député,,,,,,,,,,,1,Adopté,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001733,2019
,,,,Véran Olivier,Député,,,,,,,,,,,1,Adopté,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001734,2019
,,,,Véran Olivier,Député,,,,,,,,,,,2,Adopté,la deuxième phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001734,2019
,,,,Luquet Aude,Député,,,,,Dem,,,,,,2,Tombé,la seconde phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001735,2019
,,,,Véran Olivier,Député,,,,,,,,,,,1,Adopté,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001736,2019
,,,,Véran Olivier,Député,,,,,,,,,,,1,Adopté,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001737,2019
3° order: 3,,,,Véran Olivier,Député,,,,,,,,,,,,Adopté,au 3°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001737,2019
,,,,Véran Olivier,Député,,,,,,code du travail,code,,,,,Adopté,du code du travail,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001737,2019
,,,,Véran Olivier,Député,,,,,,,,,,,2,Adopté,la seconde phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001741,2019
,,,,Véran Olivier,Député,,,,,,,,,,,2,Adopté,la seconde phrase,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001742,2019
I order: 1,,,,Perrut Bernard,Député,,,,,LR,,,,,,,Rejeté,du I,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001747,2019
,,,,Perrut Bernard,Député,,,,,LR,code rural et de la pêche maritime,code,,,,,Rejeté,du code rural et de la pêche maritime,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001747,2019
4° order: 4,,,,Perrut Bernard,Député,,,,,LR,,,,,,,Rejeté,Le 4°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001747,2019
III order: 3,,,,Perrut Bernard,Député,,,,,LR,,,,,,,Rejeté,du III,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001747,2019
,,,575,Perrut Bernard,Député,,,,,LR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001747,2019
,,,575 A,Perrut Bernard,Député,,,,,LR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001747,2019
,,,,Perrut Bernard,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001748,2019
,,,,Perrut Bernard,Député,,,,,LR,code de l’action sociale et des familles,code,,,,,Non soutenu,du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001748,2019
2° order: 2,,,,Perrut Bernard,Député,,,,,LR,,,,,,,Non soutenu,du 2°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001748,2019
I order: 1,,,indirect: (relative: 0),Perrut Bernard,Député,,,,,LR,,,,,,,Non soutenu,du I du présent article,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001748,2019
3° order: 3,,,,Perrut Bernard,Député,,,,,LR,,,,,,,Non soutenu,au 3°,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001748,2019
,,,,Perrut Bernard,Député,,,,,LR,code du travail,code,,,,,Non soutenu,du code du travail,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001748,2019
4,,,,Perrut Bernard,Député,,,,,LR,,,,,,,Non soutenu,le quatrième alinéa,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001749,2019
,,,,Perrut Bernard,Député,,,,,LR,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001749,2019
,,,,Perrut Bernard,Député,,,,,LR,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001751,2019
III ter order: 3,,,,Perrut Bernard,Député,,,,,LR,,,,,,,Non soutenu,Au III ter,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001751,2019
IV order: 4,,,,Perrut Bernard,Député,,,,,LR,,,,,,,Non soutenu,Le IV,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001751,2019
I order: 1,,,,Perrut Bernard,Député,,,,,LR,,,,,,,Non soutenu,au I et au V,PRJLANR5L15B2296,,AMANR5L15PO717460B2296P0D1N001751,2019
